Component,Lambda,Metric,Value,CI
A,1.10,util,0.823889,0.0021198446609478738
A,1.10,wait,1.156704,0.021762949333158515
B,1.10,pop,7.253488,0.23373537017134638
B,1.10,rt,6.590690,0.20274510336124069
B,1.10,thr,1.098970,0.0024012421956939277
B,1.10,util,0.878791,0.0026899210443413436
B,1.10,wait,5.790931,0.20190142559010302
P,1.10,pop,3.305674,0.05097076689824987
P,1.10,rt,3.006241,0.04290550897171804
P,1.10,thr,1.098959,0.0024033665043933367
P,1.10,util,0.768297,0.0022083426884208675
P,1.10,wait,2.307036,0.042227577534010005
System,1.10,pop,15.200574,0.31095715328144335
System,1.10,rt,13.816724,0.2612206141791725
System,1.10,thr,1.098957,0.002402094071012918
System,1.10,util,0.994742,3.08309219022163E-4
A,1.15,pop,6.162671,0.13213680626090432
A,1.15,rt,1.785662,0.035748569853683826
A,1.15,thr,3.446709,0.007407324280948572
A,1.15,util,0.861335,0.0022087725857559168
A,1.15,wait,1.535750,0.035589693537366254
B,1.15,pop,11.303403,0.54559208016646
B,1.15,rt,9.816140,0.45846869509366533
B,1.15,thr,1.148918,0.002506053808690582
B,1.15,util,0.918733,0.0027714747665770934
B,1.15,wait,9.016383,0.45766241528545726
P,1.15,pop,4.058237,0.07047193666736686
P,1.15,rt,3.529536,0.056841634301095484
P,1.15,thr,1.148905,0.002520001500283997
P,1.15,util,0.803225,0.0022946362183551604
P,1.15,wait,2.830330,0.05613814683151942
System,1.15,pop,21.522917,0.6587830112883244
System,1.15,rt,18.702685,0.5431507876996436
System,1.15,thr,1.148903,0.0025200425596340766
System,1.15,util,0.997491,2.1123965394637654E-4
A,1.20,pop,8.822510,0.3044867565315172
A,1.20,rt,2.448193,0.080611612496567
A,1.20,thr,3.596530,0.007617386632906997
A,1.20,util,0.898774,0.0022667939922707226
A,1.20,wait,2.198281,0.08046671568497808
B,1.20,pop,22.831592,1.9315682322658727
B,1.20,rt,18.969491,1.5792985904766863
B,1.20,thr,1.198862,0.0026216437372871765
B,1.20,util,0.958648,0.0027681516515314936
B,1.20,wait,18.169739,1.5785058989996523
P,1.20,pop,5.150765,0.10554768608156813
P,1.20,rt,4.292586,0.08282996332888368
P,1.20,thr,1.198860,0.002674794461469383
P,1.20,util,0.838128,0.0024225214598851395
P,1.20,wait,3.593381,0.08214586237341925
System,1.20,pop,36.801763,2.132204220660092
System,1.20,rt,30.606674,1.729846165290285
System,1.20,thr,1.198855,0.0026823863679640804
System,1.20,util,0.999220,1.1003896794942473E-4
