Component,Lambda,Metric,Value,CI
System,25.00,util,0.998816,1.3244126156648043E-4
A,26.00,pop,8.859204,0.2790595492709826
A,26.00,rt,2.459004,0.07430487525375627
A,26.00,thr,3.596521,0.0073781539613989805
A,26.00,util,0.898772,0.002206950857833909
A,26.00,wait,2.209090,0.07413036908578594
B,26.00,pop,10.499067,0.18298315785999217
B,26.00,rt,8.749356,0.14076865728039353
B,26.00,thr,1.198858,0.0026028506062805968
B,26.00,util,0.939199,0.0021325440187634774
B,26.00,wait,7.949604,0.13956065651662913
P,26.00,pop,5.167898,0.1156021865134526
P,26.00,rt,4.306908,0.09095807990119555
P,26.00,thr,1.198843,0.0025955184443527913
P,26.00,util,0.838111,0.002394674423955419
P,26.00,wait,3.607702,0.09029593854736734
System,26.00,pop,24.522628,0.47035711661203844
System,26.00,rt,20.430174,0.3570327566366507
System,26.00,thr,1.198834,0.0025893827451714292
System,26.00,util,0.998832,1.298046397127516E-4
A,27.00,pop,8.850278,0.2754011533007743
A,27.00,rt,2.456524,0.07329877784995639
A,27.00,thr,3.596520,0.007384491689348166
A,27.00,util,0.898765,0.0022065492137653573
A,27.00,wait,2.206611,0.0731251706440746
B,27.00,pop,10.788546,0.19504839802156926
B,27.00,rt,8.990351,0.15054813444352796
B,27.00,thr,1.198859,0.002604748254641281
B,27.00,util,0.940291,0.0021372449218215357
B,27.00,wait,8.190599,0.14934893790976275
P,27.00,pop,5.161727,0.11516821804958328
P,27.00,rt,4.301687,0.09063386821082613
P,27.00,thr,1.198843,0.0025953778614492646
P,27.00,util,0.838117,0.0023953115678114947
P,27.00,wait,3.602482,0.08997515131533908
System,27.00,pop,24.797157,0.47463260594660484
System,27.00,rt,20.658857,0.3603468264480563
System,27.00,thr,1.198834,0.002588173516073023
System,27.00,util,0.998859,1.2970935333937294E-4
A,28.00,pop,8.843381,0.2712983578816068
A,28.00,rt,2.454610,0.07211449578345093
A,28.00,thr,3.596525,0.007392546352470189
A,28.00,util,0.898778,0.002209272080490506
A,28.00,wait,2.204696,0.07194198363745195
B,28.00,pop,11.125176,0.21143597541190307
B,28.00,rt,9.270173,0.16343336197784503
B,28.00,thr,1.198858,0.002599821120967332
B,28.00,util,0.941456,0.002173750635584965
B,28.00,wait,8.470421,0.1622786921819108
P,28.00,pop,5.151199,0.11439577952489477
P,28.00,rt,4.292906,0.0900403555433954
P,28.00,thr,1.198842,0.002590927825981627
P,28.00,util,0.838113,0.0023940588181183
P,28.00,wait,3.593701,0.08938094954759679
System,28.00,pop,25.116831,0.48426714501974133
System,28.00,rt,20.924396,0.3672664028050025
System,28.00,thr,1.198833,0.0025842395935175328
System,28.00,util,0.998877,1.2644821553487942E-4
A,29.00,pop,8.831198,0.2711821321614786
A,29.00,rt,2.451240,0.07211884204021417
A,29.00,thr,3.596524,0.007394606655339496
A,29.00,util,0.898751,0.0022079899393209557
A,29.00,wait,2.201326,0.07194471231926369
B,29.00,pop,11.435555,0.2222864885357879
B,29.00,rt,9.528349,0.17215556650659536
B,29.00,thr,1.198858,0.0026030656583024775
B,29.00,util,0.942554,0.0021774338522519377
B,29.00,wait,8.728597,0.17100894337860922
P,29.00,pop,5.169006,0.1163500525730372
P,29.00,rt,4.307808,0.09159585457016156
P,29.00,thr,1.198842,0.002590884455274141
P,29.00,util,0.838105,0.002394083232101035
P,29.00,wait,3.608602,0.09095537479104994
System,29.00,pop,25.433088,0.49437883693327533
System,29.00,rt,21.187853,0.3751448535361077
System,29.00,thr,1.198833,0.002585980232389763
System,29.00,util,0.998900,1.2675960443784236E-4
A,30.00,pop,8.816094,0.2676906669923637
A,30.00,rt,2.447024,0.07110778485204594
A,30.00,thr,3.596520,0.0073872712907161854
A,30.00,util,0.898765,0.0022076932819792123
A,30.00,wait,2.197111,0.07093403754007706
B,30.00,pop,11.736096,0.2397177336860006
B,30.00,rt,9.778212,0.18628938078738635
B,30.00,thr,1.198859,0.0026045917622171586
B,30.00,util,0.943307,0.0022101925427143033
B,30.00,wait,8.978459,0.1851436458591063
P,30.00,pop,5.174188,0.11472719723100931
P,30.00,rt,4.312124,0.09014886847666853
P,30.00,thr,1.198842,0.002592989020994854
P,30.00,util,0.838107,0.0023972060350554614
P,30.00,wait,3.612919,0.0894921755792215
System,30.00,pop,25.723597,0.5063982035091202
System,30.00,rt,21.429125,0.38431177713692877
System,30.00,thr,1.198833,0.0025844331359841347
System,30.00,util,0.998917,1.277258741144507E-4
A,31.00,pop,8.818710,0.26640199181162283
A,31.00,rt,2.447717,0.07071217086743899
A,31.00,thr,3.596506,0.007392044014904023
A,31.00,util,0.898770,0.002209082136465525
A,31.00,wait,2.197804,0.07054017459504346
B,31.00,pop,12.020890,0.25007584589230125
B,31.00,rt,10.015235,0.1944916970085543
B,31.00,thr,1.198856,0.002594096163278601
B,31.00,util,0.944170,0.0022208621097292687
B,31.00,wait,9.215482,0.1933503803134416
P,31.00,pop,5.177598,0.11750966543619103
P,31.00,rt,4.314748,0.0924425922740441
P,31.00,thr,1.198842,0.0025949451722210694
P,31.00,util,0.838103,0.0023976868063874906
P,31.00,wait,3.615543,0.0917784069788737
System,31.00,pop,26.015063,0.5158386123883598
System,31.00,rt,21.671817,0.39159093276277196
System,31.00,thr,1.198835,0.0025909375197255813
System,31.00,util,0.998915,1.2704314810213984E-4
A,32.00,pop,8.796289,0.2668781544541196
A,32.00,rt,2.441462,0.07083036400571231
A,32.00,thr,3.596503,0.00739176706532397
A,32.00,util,0.898776,0.002210594606128668
A,32.00,wait,2.191550,0.07065676477076409
B,32.00,pop,12.325307,0.26809672988251776
B,32.00,rt,10.268073,0.20896844232647738
B,32.00,thr,1.198857,0.002599507775180047
B,32.00,util,0.945028,0.0022295048847356903
B,32.00,wait,9.468321,0.20781987749273018
P,32.00,pop,5.167382,0.11581310244713108
P,32.00,rt,4.306398,0.09126127587336562
P,32.00,thr,1.198843,0.002597209839866388
P,32.00,util,0.838109,0.0024007760159524645
