Time,Metric,Value,Seed,Component
5750.000000,Utilization,0.828748,123456789,P
5750.000000,Utilization,0.997559,123456789,System
5750.000000,WaitTime,1.718543,123456789,A
5750.000000,WaitTime,2.836340,123456789,B
5750.000000,WaitTime,3.380363,123456789,P
6000.000000,ResponseTime,1.926282,123456789,A
6000.000000,ResponseTime,3.614379,123456789,B
6000.000000,ResponseTime,4.031703,123456789,P
6000.000000,ResponseTime,13.425478,123456789,System
6000.000000,Population,6.941294,123456789,A
6000.000000,Population,4.344263,123456789,B
6000.000000,Population,4.840677,123456789,P
6000.000000,Population,16.126171,123456789,System
6000.000000,Throughput,3.603333,123456789,A
6000.000000,Throughput,1.201333,123456789,B
6000.000000,Throughput,1.200500,123456789,P
6000.000000,Throughput,1.200500,123456789,System
6000.000000,Utilization,0.888031,123456789,A
6000.000000,Utilization,0.884586,123456789,B
6000.000000,Utilization,0.828310,123456789,P
6000.000000,Utilization,0.997719,123456789,System
6000.000000,WaitTime,1.679857,123456789,A
6000.000000,WaitTime,2.817887,123456789,B
6000.000000,WaitTime,3.341938,123456789,P
6250.000000,ResponseTime,1.951400,123456789,A
6250.000000,ResponseTime,3.641688,123456789,B
6250.000000,ResponseTime,4.073522,123456789,P
6250.000000,ResponseTime,13.553678,123456789,System
6250.000000,Population,7.046180,123456789,A
6250.000000,Population,4.383317,123456789,B
6250.000000,Population,4.898065,123456789,P
6250.000000,Population,16.327918,123456789,System
6250.000000,Throughput,3.606400,123456789,A
6250.000000,Throughput,1.202720,123456789,B
6250.000000,Throughput,1.200640,123456789,P
6250.000000,Throughput,1.200320,123456789,System
6250.000000,Utilization,0.889391,123456789,A
6250.000000,Utilization,0.886165,123456789,B
6250.000000,Utilization,0.829877,123456789,P
6250.000000,Utilization,0.997806,123456789,System
6250.000000,WaitTime,1.704922,123456789,A
6250.000000,WaitTime,2.841643,123456789,B
6250.000000,WaitTime,3.382965,123456789,P
6500.000000,ResponseTime,1.997629,123456789,A
6500.000000,ResponseTime,3.662103,123456789,B
6500.000000,ResponseTime,4.056814,123456789,P
