Time,Metric,Value,Batch,Component
147400.741873,rt,0.947330,107,A
147400.741873,wait,0.701858,107,A
147400.741873,util,0.740074,107,A
147400.741873,pop,2.856085,107,A
147400.741873,thr,3.011732,107,A
147401.767443,rt,2.162237,35,P
147401.767443,wait,1.466410,35,P
147401.767443,util,0.231677,35,P
147401.767443,pop,2.161994,35,P
147401.767443,thr,1.000769,35,P
147402.580214,rt,8.114502,35,System
147402.580214,pop,8.118848,35,System
147402.580214,util,0.980912,35,System
147402.580214,thr,1.000572,35,System
148808.280380,rt,0.779644,108,A
148808.280380,wait,0.535499,108,A
148808.280380,util,0.712979,108,A
148808.280380,pop,2.299801,108,A
148808.280380,thr,2.910045,108,A
150170.878282,rt,1.148124,109,A
150170.878282,wait,0.892230,109,A
150170.878282,util,0.765660,109,A
150170.878282,pop,3.415040,109,A
150170.878282,thr,3.006023,109,A
151568.060373,rt,3.835075,36,B
151568.060373,wait,3.038365,36,B
151568.060373,util,0.734318,36,B
151568.060373,pop,3.797620,36,B
151568.060373,thr,0.982613,36,B
151568.752781,rt,0.979194,110,A
151568.752781,wait,0.728758,110,A
151568.752781,util,0.734434,110,A
151568.752781,pop,2.875881,110,A
151568.752781,thr,2.930163,110,A
151574.492165,rt,2.118725,36,P
151574.492165,wait,1.431873,36,P
151574.492165,util,0.893844,36,P
151574.492165,pop,2.083629,36,P
151574.492165,thr,0.981613,36,P
151574.740947,rt,8.863247,36,System
151574.740947,pop,8.754153,36,System
151574.740947,util,0.980322,36,System
151574.740947,thr,0.981745,36,System
152974.623412,rt,1.036829,111,A
152974.623412,wait,0.785080,111,A
152974.623412,util,0.733703,111,A
152974.623412,pop,3.018380,111,A
152974.623412,thr,2.913497,111,A
154352.231847,rt,1.167781,112,A
154352.231847,wait,0.920676,112,A
154352.231847,util,0.733929,112,A
154352.231847,pop,3.468250,112,A
154352.231847,thr,2.973269,112,A
155648.160953,rt,1.075278,113,A
155648.160953,wait,0.825657,113,A
155648.160953,util,0.788342,113,A
155648.160953,pop,3.396663,113,A
155648.160953,thr,3.160667,113,A
155653.342666,rt,3.760295,37,B
155653.342666,wait,2.975610,37,B
155653.342666,util,0.640124,37,B
155653.342666,pop,3.781766,37,B
155653.342666,thr,1.002623,37,B
155655.123883,rt,2.239824,37,P
155655.123883,wait,1.543987,37,P
155655.123883,util,0.700101,37,P
155655.123883,pop,2.244406,37,P
155655.123883,thr,1.003766,37,P
155656.053718,rt,9.271258,37,System
155656.053718,pop,9.301482,37,System
155656.053718,util,0.980384,37,System
155656.053718,thr,1.003599,37,System
156945.316789,rt,1.096673,114,A
156945.316789,wait,0.846424,114,A
156945.316789,util,0.791724,114,A
156945.316789,pop,3.467280,114,A
156945.316789,thr,3.157678,114,A
158337.327715,rt,0.991673,115,A
158337.327715,wait,0.738005,115,A
158337.327715,util,0.746620,115,A
158337.327715,pop,2.925873,115,A
158337.327715,thr,2.942506,115,A
159675.812349,rt,0.960181,116,A
159675.812349,wait,0.707683,116,A
159675.812349,util,0.770670,116,A
159675.812349,pop,2.924365,116,A
159675.812349,thr,3.060177,116,A
159677.578287,rt,3.661062,38,B
159677.578287,wait,2.885273,38,B
159677.578287,util,0.691871,38,B
159677.578287,pop,3.721638,38,B
159677.578287,thr,1.017833,38,B
159680.096216,rt,2.979180,38,P
159680.096216,wait,2.261494,38,P
159680.096216,util,0.869520,38,P
159680.096216,pop,3.031781,38,P
159680.096216,thr,1.017647,38,P
159680.715692,rt,9.694350,38,System
159680.715692,pop,9.854592,38,System
159680.715692,util,0.985853,38,System
159680.715692,thr,1.017725,38,System
161032.768839,rt,1.040373,117,A
161032.768839,wait,0.787783,117,A
161032.768839,util,0.762396,117,A
161032.768839,pop,3.140439,117,A
161032.768839,thr,3.018520,117,A
162479.553694,rt,0.838384,118,A
162479.553694,wait,0.586507,118,A
162479.553694,util,0.713520,118,A
162479.553694,pop,2.374216,118,A
162479.553694,thr,2.831105,118,A
163848.695101,rt,3.367363,39,B
163848.695101,wait,2.586962,39,B
163848.695101,util,0.739352,39,B
163848.695101,pop,3.268229,39,B
163848.695101,thr,0.981991,39,B
163849.582044,rt,0.831076,119,A
163849.582044,wait,0.583431,119,A
163849.582044,util,0.739462,119,A
163849.582044,pop,2.482891,119,A
163849.582044,thr,2.989719,119,A
163849.871160,rt,2.152085,39,P
163849.871160,wait,1.464344,39,P
163849.871160,util,0.415070,39,P
163849.871160,pop,2.113261,39,P
163849.871160,thr,0.982307,39,P
163850.253017,rt,8.229333,39,System
163850.253017,pop,8.030354,39,System
163850.253017,util,0.982624,39,System
163850.253017,thr,0.982363,39,System
165247.064954,rt,1.022450,120,A
165247.064954,wait,0.770614,120,A
165247.064954,util,0.739907,120,A
165247.064954,pop,3.011125,120,A
165247.064954,thr,2.930984,120,A
166632.841372,rt,1.179479,121,A
166632.841372,wait,0.922946,121,A
166632.841372,util,0.756187,121,A
166632.841372,pop,3.470472,121,A
166632.841372,thr,2.955744,121,A
167986.944133,rt,3.751936,40,B
167986.944133,wait,2.963563,40,B
167986.944133,util,0.750564,40,B
167986.944133,pop,3.713858,40,B
167986.944133,thr,0.989791,40,B
167987.114278,rt,0.936439,122,A
167987.114278,wait,0.688312,122,A
167987.114278,util,0.750481,122,A
167987.114278,pop,2.832315,122,A
167987.114278,thr,3.024501,122,A
167987.758859,rt,2.187475,40,P
167987.758859,wait,1.487942,40,P
167987.758859,util,0.961212,40,P
167987.758859,pop,2.165205,40,P
167987.758859,thr,0.989877,40,P
167987.872331,rt,9.077709,40,System
167987.872331,pop,8.985366,40,System
167987.872331,util,0.982641,40,System
167987.872331,thr,0.989941,40,System
169337.792483,rt,1.135047,123,A
169337.792483,wait,0.882621,123,A
169337.792483,util,0.765015,123,A
169337.792483,pop,3.441323,123,A
169337.792483,thr,3.032551,123,A
170724.363315,rt,0.987968,124,A
170724.363315,wait,0.733098,124,A
170724.363315,util,0.753124,124,A
170724.363315,pop,2.918723,124,A
170724.363315,thr,2.954050,124,A
172179.050866,rt,4.113004,41,B
172179.050866,wait,3.299662,41,B
172179.050866,util,0.722762,41,B
172179.050866,pop,4.019251,41,B
172179.050866,thr,0.977074,41,B
172180.434165,rt,0.831853,125,A
172180.434165,wait,0.574880,125,A
172180.434165,util,0.722897,125,A
172180.434165,pop,2.340701,125,A
172180.434165,thr,2.813050,125,A
172183.035545,rt,2.316877,41,P
172183.035545,wait,1.603857,41,P
172183.035545,util,0.737932,41,P
172183.035545,pop,2.261862,41,P
172183.035545,thr,0.976336,41,P
172184.369939,rt,9.384159,41,System
172184.369939,pop,9.167766,41,System
172184.369939,util,0.983978,41,System
172184.369939,thr,0.976052,41,System
173541.780065,rt,0.996524,126,A
173541.780065,wait,0.743917,126,A
173541.780065,util,0.759603,126,A
173541.780065,pop,2.996617,126,A
173541.780065,thr,3.008787,126,A
174985.729767,rt,0.786669,127,A
174985.729767,wait,0.539458,127,A
174985.729767,util,0.700789,127,A
174985.729767,pop,2.230379,127,A
174985.729767,thr,2.836664,127,A
176368.919652,rt,3.359952,42,B
176368.919652,wait,2.577268,42,B
176368.919652,util,0.734202,42,B
176368.919652,pop,3.286160,42,B
176368.919652,thr,0.977596,42,B
176371.457234,rt,1.047650,128,A
176371.457234,wait,0.799854,128,A
176371.457234,util,0.734796,128,A
176371.457234,pop,3.113929,128,A
176371.457234,thr,2.955848,128,A
176374.912682,rt,1.997779,42,P
176374.912682,wait,1.309180,42,P
176374.912682,util,0.977625,42,P
176374.912682,pop,1.952467,42,P
176374.912682,thr,0.977128,42,P
176375.835854,rt,8.190473,42,System
176375.835854,pop,8.019772,42,System
176375.835854,util,0.980133,42,System
176375.835854,thr,0.977224,42,System
177729.629534,rt,0.984051,129,A
177729.629534,wait,0.730083,129,A
177729.629534,util,0.763444,129,A
177729.629534,pop,2.949270,129,A
177729.629534,thr,3.015818,129,A
179059.790687,rt,1.036298,130,A
179059.790687,wait,0.788371,130,A
179059.790687,util,0.763358,130,A
179059.790687,pop,3.190827,130,A
179059.790687,thr,3.079326,130,A
180410.921575,rt,4.700074,43,B
180410.921575,wait,3.900944,43,B
180410.921575,util,0.756486,43,B
180410.921575,pop,4.759074,43,B
180410.921575,thr,1.013359,43,B
180411.910471,rt,1.166372,131,A
180411.910471,wait,0.916686,131,A
180411.910471,util,0.756719,131,A
180411.910471,pop,3.534626,131,A
180411.910471,thr,3.029317,131,A
180413.890419,rt,2.336583,43,P
180413.890419,wait,1.634122,43,P
180413.890419,util,0.943598,43,P
180413.890419,pop,2.369053,43,P
180413.890419,thr,1.014118,43,P
180413.928582,rt,10.222810,43,System
180413.928582,pop,10.345409,43,System
180413.928582,util,0.985150,43,System
180413.928582,thr,1.014340,43,System
181730.246658,rt,1.443927,132,A
181730.246658,wait,1.180300,132,A
181730.246658,util,0.819418,132,A
181730.246658,pop,4.489817,132,A
181730.246658,thr,3.106946,132,A
183126.316376,rt,0.876231,133,A
183126.316376,wait,0.627893,133,A
183126.316376,util,0.728154,133,A
183126.316376,pop,2.567237,133,A
183126.316376,thr,2.933951,133,A
184462.103326,rt,5.281119,44,B
184462.103326,wait,4.486570,44,B
184462.103326,util,0.769012,44,B
184462.103326,pop,5.338816,44,B
184462.103326,thr,1.011063,44,B
184471.784670,rt,1.183481,134,A
184471.784670,wait,0.931870,134,A
184471.784670,util,0.770464,134,A
184471.784670,pop,3.668981,134,A
184471.784670,thr,3.044293,134,A
184474.087414,rt,2.291334,44,P
184474.087414,wait,1.595724,44,P
184474.087414,util,0.974477,44,P
184474.087414,pop,2.312335,44,P
184474.087414,thr,1.008818,44,P
184476.112551,rt,11.085935,44,System
184476.112551,pop,11.202891,44,System
184476.112551,util,0.983716,44,System
184476.112551,thr,1.008325,44,System
185846.946495,rt,1.014336,135,A
185846.946495,wait,0.756399,135,A
185846.946495,util,0.763035,135,A
185846.946495,pop,2.950201,135,A
185846.946495,thr,2.978559,135,A
187209.468415,rt,1.121294,136,A
187209.468415,wait,0.867187,136,A
187209.468415,util,0.763868,136,A
187209.468415,pop,3.370797,136,A
187209.468415,thr,3.006190,136,A
188580.443409,rt,4.316452,45,B
188580.443409,wait,3.492272,45,B
188580.443409,util,0.742941,45,B
188580.443409,pop,4.293777,45,B
188580.443409,thr,0.994575,45,B
188580.651134,rt,0.918304,137,A
188580.651134,wait,0.669882,137,A
188580.651134,util,0.743064,137,A
188580.651134,pop,2.745235,137,A
188580.651134,thr,2.987202,137,A
188582.380268,rt,2.411066,45,P
188582.380268,wait,1.703340,45,P
188582.380268,util,0.987597,45,P
188582.380268,pop,2.402802,45,P
188582.380268,thr,0.997008,45,P
188584.116468,rt,9.771638,45,System
188584.116468,pop,9.717577,45,System
188584.116468,util,0.986483,45,System
188584.116468,thr,0.997078,45,System
189937.280065,rt,0.931641,138,A
189937.280065,wait,0.682472,138,A
189937.280065,util,0.751183,138,A
189937.280065,pop,2.810503,138,A
189937.280065,thr,3.019249,138,A
191309.109041,rt,0.865025,139,A
191309.109041,wait,0.617509,139,A
191309.109041,util,0.738820,139,A
191309.109041,pop,2.582363,139,A
191309.109041,thr,2.985795,139,A
192688.765217,rt,3.445174,46,B
192688.765217,wait,2.653322,46,B
192688.765217,util,0.748371,46,B
192688.765217,pop,3.442699,46,B
192688.765217,thr,0.997001,46,B
192693.348305,rt,0.935944,140,A
192693.348305,wait,0.683359,140,A
192693.348305,util,0.749141,140,A
192693.348305,pop,2.785257,140,A
192693.348305,thr,2.959026,140,A
192699.357784,rt,1.952883,46,P
192699.357784,wait,1.271165,46,P
192699.357784,util,0.899284,46,P
192699.357784,pop,1.956520,46,P
192699.357784,thr,0.994905,46,P
192699.472671,rt,8.118881,46,System
192699.472671,pop,8.127384,46,System
192699.472671,util,0.986254,46,System
192699.472671,thr,0.995297,46,System
194087.492046,rt,0.782244,141,A
194087.492046,wait,0.536791,141,A
194087.492046,util,0.719112,141,A
194087.492046,pop,2.281345,141,A
194087.492046,thr,2.938004,141,A
195445.264389,rt,0.932455,142,A
195445.264389,wait,0.682574,142,A
195445.264389,util,0.754747,142,A
195445.264389,pop,2.816457,142,A
195445.264389,thr,3.016706,142,A
196813.278918,rt,3.986942,47,B
196813.278918,wait,3.191708,47,B
196813.278918,util,0.749349,47,B
196813.278918,pop,3.959065,47,B
196813.278918,thr,0.993087,47,B
196813.865633,rt,1.054424,143,A
196813.865633,wait,0.803928,143,A
196813.865633,util,0.749261,143,A
196813.865633,pop,3.153539,143,A
196813.865633,thr,2.992837,143,A
